avespoli@Anthonys-MacBook-Pro ~ % log show --last 48h --predicate 'eventMessage CONTAINS "seal"'

Filtering the log data using "composedMessage CONTAINS "seal""
Skipping info and debug messages, pass --info and/or --debug to include.
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-09-30 12:09:22.157307-0500 0x2989a    Default     0x0                  535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 12:09:41.987116-0500 0x29938    Default     0x6ccb2              535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 12:09:42.333381-0500 0x2989a    Default     0x6ccb2              535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 12:09:42.844591-0500 0x2989a    Default     0x6ccb2              535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 12:09:42.971777-0500 0x29b26    Default     0x6ccb2              535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 12:09:42.974299-0500 0x29b26    Default     0x6ccb2              535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 22:39:06.510052-0500 0x79594    Default     0x0                  535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 22:39:07.919754-0500 0x797c7    Default     0x1408ff             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 22:39:08.363694-0500 0x797f6    Default     0x1408ff             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 22:39:09.087119-0500 0x797d2    Default     0x1408ff             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 22:39:09.363686-0500 0x797cb    Default     0x1408ff             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 22:39:09.369676-0500 0x797cb    Default     0x1408ff             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 23:54:06.008524-0500 0x7cf2d    Default     0x0                  535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 23:54:08.213404-0500 0x7f14e    Default     0x155ad4             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 23:54:08.756035-0500 0x7f14d    Default     0x155ad4             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 23:54:09.573061-0500 0x7f14d    Default     0x155ad4             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 23:54:09.872803-0500 0x7f10d    Default     0x155ad4             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-09-30 23:54:09.880015-0500 0x7f10d    Default     0x155ad4             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 01:39:11.257848-0500 0x93b91    Default     0x0                  535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 01:39:13.642616-0500 0x93baa    Default     0x1a1303             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 01:39:14.004855-0500 0x93baa    Default     0x1a1303             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 01:39:14.518894-0500 0x93bb4    Default     0x1a1303             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 01:39:14.668058-0500 0x93baa    Default     0x1a1303             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 01:39:14.671466-0500 0x93baa    Default     0x1a1303             535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 03:10:02.558745-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 03:10:02.574071-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 03:10:02.574185-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 03:10:02.574278-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Parsed the following common names from cert in seal: (
    "FDR Sealing Server CA 1",
    "FDR-SS-CM-E1"
)
2025-10-01 03:10:02.574513-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Reading EAN key seal, imageSize=8192
2025-10-01 03:10:02.574714-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Successfully read seal from EAN
2025-10-01 03:10:02.576211-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 03:10:02.576860-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 03:10:02.578745-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 03:10:02.579928-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 03:10:02.580880-0500 0xa3e3f    Default     0x2087af             34421  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 03:28:54.795753-0500 0xa834d    Default     0x0                  535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 03:28:55.144191-0500 0xa8402    Default     0x0                  535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 03:28:55.424961-0500 0xa829d    Default     0x0                  535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 03:28:55.426831-0500 0xa829d    Default     0x0                  535    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 08:57:11.032068-0500 0x127d     Default     0x0                  517    0    AppleDeviceQueryService: (libMobileGestalt.dylib) Sealing manifest property '<private>' did not exist in the sealing manifest
2025-10-01 08:57:17.544041-0500 0x14eb     Default     0x0                  565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 08:57:17.557938-0500 0x14eb     Default     0x0                  565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 08:57:17.561637-0500 0x1511     Default     0x0                  565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 08:57:17.569392-0500 0x1502     Default     0x0                  565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 08:57:17.572195-0500 0x1502     Default     0x0                  565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 08:57:19.777108-0500 0x209b     Default     0x0                  373    18   corerepaird: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 08:57:20.272730-0500 0x1511     Default     0x0                  565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 08:57:20.812347-0500 0x209b     Default     0x0                  373    18   corerepaird: (CoreRepairCore) [com.apple.corerepair:device] Reading EAN key seal, imageSize=8192
2025-10-01 08:57:20.812679-0500 0x209b     Default     0x0                  373    18   corerepaird: (CoreRepairCore) [com.apple.corerepair:device] Successfully read seal from EAN
2025-10-01 08:57:20.813197-0500 0x209b     Default     0x0                  373    18   corerepaird: (CoreRepairCore) [com.apple.corerepair:device] Unsealed: {
}
2025-10-01 11:12:14.498815-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 11:12:14.513660-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 11:12:14.513771-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 11:12:14.513859-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Parsed the following common names from cert in seal: (
    "FDR Sealing Server CA 1",
    "FDR-SS-CM-E1"
)
2025-10-01 11:12:14.514089-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Reading EAN key seal, imageSize=8192
2025-10-01 11:12:14.514318-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Successfully read seal from EAN
2025-10-01 11:12:14.515747-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 11:12:14.516307-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 11:12:14.517875-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 11:12:14.518824-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 11:12:14.519654-0500 0x24125    Default     0x47b8b              11669  18   AboutExtension: (CoreRepairCore) [com.apple.corerepair:device] Getting local sealing manifest
2025-10-01 12:22:17.847264-0500 0x3059c    Default     0x0                  565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:18.675869-0500 0x3059e    Default     0xa1cc5              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:18.893028-0500 0x3059c    Default     0xa1cc5              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:19.367423-0500 0x3059c    Default     0xa1cc5              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:19.482112-0500 0x3059e    Default     0xa1cc5              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:19.483940-0500 0x3059e    Default     0xa1cc5              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:22.225367-0500 0x30792    Default     0x0                  565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:22.640623-0500 0x30792    Default     0xa286f              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:22.860763-0500 0x3059b    Default     0xa286f              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:23.125650-0500 0x3059a    Default     0xa286f              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:23.244911-0500 0x3059a    Default     0xa286f              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 12:22:23.246516-0500 0x3059a    Default     0xa286f              565    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 20:05:26.205269+0000 0x9df      Default     0x0                  84     0    WindowServer: (libMobileGestalt.dylib) Sealing manifest property '<private>' did not exist in the sealing manifest
2025-10-01 15:05:43.505193-0500 0xfd1      Default     0x0                  422    0    WindowServer: (libMobileGestalt.dylib) Sealing manifest property '<private>' did not exist in the sealing manifest
2025-10-01 15:05:47.353918-0500 0x1302     Default     0x1be5               556    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 15:05:47.364569-0500 0x16d3     Default     0x0                  556    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 15:05:47.372820-0500 0x16d4     Default     0x0                  556    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
2025-10-01 15:05:47.399859-0500 0x1301     Default     0x0                  556    30   softwareupdated: (SoftwareUpdateCore) [com.apple.SoftwareUpdateMacController:SU] [SUCoreDevice] RootVolumeSealValid: Root volume is sealed
